"ID";"observation_time";"temperature";"wind_speed";"pressure";"humidity"
281;"2025-10-31 11:48";14;0;955;75
282;"2025-10-31 12:48";15;0;954;74
283;"2025-10-31 13:50";15;0;954;74
284;"2025-10-31 14:50";15;0;954;77
285;"2025-10-31 15:50";15;0;955;77
286;"2025-10-31 16:50";14;1;954;80
287;"2025-10-31 17:50";13;1;955;82
288;"2025-10-31 18:50";12;0;955;85
289;"2025-10-31 19:50";11;1;956;88
290;"2025-10-31 20:50";11;1;956;88
291;"2025-10-31 21:50";10;1;956;89
292;"2025-10-31 22:50";11;1;956;89
293;"2025-10-31 23:50";11;1;956;88
294;"2025-10-31 00:50";11;0;956;88
295;"2025-11-01 01:50";11;1;956;89
296;"2025-11-01 02:50";11;1;956;87
297;"2025-11-01 03:50";11;1;956;86
298;"2025-11-01 04:50";11;1;956;86
299;"2025-11-01 05:50";11;1;955;87
300;"2025-11-01 06:50";11;1;956;87
301;"2025-11-01 07:51";11;1;956;83
302;"2025-11-01 08:51";14;0;955;78
303;"2025-11-01 09:51";16;0;955;71
304;"2025-11-01 10:51";17;0;954;67
305;"2025-11-01 11:55";18;1;954;63
306;"2025-11-01 12:55";18;3;953;57
307;"2025-11-01 13:55";18;3;953;58
308;"2025-11-01 14:54";17;3;953;58
309;"2025-11-01 15:54";17;2;953;58
310;"2025-11-01 16:54";14;2;953;67
311;"2025-11-01 17:54";14;2;954;71
312;"2025-11-01 18:54";13;1;954;73
313;"2025-11-01 19:54";13;1;954;74
314;"2025-11-01 20:54";13;1;954;76
315;"2025-11-01 21:54";12;1;954;78
316;"2025-11-01 22:54";12;1;954;78
317;"2025-11-01 23:54";12;1;954;78
318;"2025-11-01 00:54";12;1;954;78
319;"2025-11-02 01:54";12;1;954;79
320;"2025-11-02 02:54";12;1;954;80
321;"2025-11-02 03:54";12;0;953;81
322;"2025-11-02 04:54";12;1;953;84
323;"2025-11-02 05:54";11;1;952;87
324;"2025-11-02 06:54";11;1;952;87
325;"2025-11-02 07:54";12;1;952;85
326;"2025-11-02 08:54";13;0;952;81
327;"2025-11-02 09:54";14;0;952;77
328;"2025-11-02 10:53";15;0;952;73
329;"2025-11-02 11:53";15;1;950;73
330;"2025-11-02 12:53";14;1;950;80
331;"2025-11-02 13:53";14;0;949;79
332;"2025-11-02 14:34";15;0;949;77
333;"2025-11-02 15:35";14;0;949;84
334;"2025-11-02 16:35";13;0;948;86
335;"2025-11-02 17:35";12;0;948;90
336;"2025-11-02 18:35";12;0;948;92
337;"2025-11-02 19:35";12;0;948;93
338;"2025-11-02 20:35";11;1;948;93
339;"2025-11-02 21:34";11;1;948;95
340;"2025-11-02 22:34";11;1;947;95
341;"2025-11-02 23:34";9;2;950;71
342;"2025-11-02 00:34";7;2;951;81
343;"2025-11-03 01:35";7;3;952;82
344;"2025-11-03 02:35";6;1;952;82
345;"2025-11-03 03:35";6;1;952;89
346;"2025-11-03 04:35";6;1;952;90
347;"2025-11-03 05:35";6;0;954;91
348;"2025-11-03 06:35";6;0;954;91
349;"2025-11-03 07:35";6;0;955;92
350;"2025-11-03 07:35";6;0;955;92
351;"2025-11-03 09:36";9;0;956;85
352;"2025-11-03 10:36";10;1;956;79
353;"2025-11-03 11:36";10;1;957;71
354;"2025-11-03 12:35";11;1;957;68
355;"2025-11-03 13:35";11;1;956;65
356;"2025-11-03 14:35";11;1;957;64
